Task,Topic
"PURSUANT to Standing Order No. 29 of the Embu County Assembly Standing Orders, it is notified for the information of the Members of the County Assembly of Embu and the general public that on the request of the Leader of Majority in consultation with the Committee on Appointments, there shall be special sittings of the County Assembly to be held in the County Assembly Chambers, Embu, Spring Valley area, along James Nyaga Crescent Road off Embuâ€“Meru Highway on Monday, 9th October, 2017 and Monday, 16th October, 2017 as follows",Appointments
"IN EXERCISE of the authority conferred in me by the Constitution of Kenya, the County Governments Act and the Public Appointments (County Assemblies Approval) Act, I, appoint",Appointments
"IT IS NOTIFIED for the information of the general public that Monday, 2nd May, 2016, will be a Public Holiday pursuant to section 3 of the Public Holidays Act.",public holidays
"IT IS notified for the information of the general public that Saturday, 14th December, 2013, will be a Public Holiday pursuant to section 3 of the Public Holidays Act.",public holidays
"IT IS notified for general information that Monday, 2nd June, 2014, will be a Public Holiday pursuant to section 4 of the Public Holidays Act.",public holidays
"IT IS notified for general information that Thursday, 26thNovember, 2015 will be a public holiday pursuant to section 3 of the Public Holidays Act.",public holidays
"IT IS notified for general information that Thursday, 7th July, 2016 will be observed as a public holiday to mark Idd-Ul-Fitr Day, pursuant to section 3 of the Public Holidays Act.",public holidays
"The Christmas Vacation of the High Court of Kenya, other than in the Coast Province, shall commence on 21st December, 2010 and terminate on 13th January, 2011 both days iinclusive.",public holidays
"IT IS notified for general information that Monday, 20th August, 2012, will be observed as a public holiday to mark Idd-Ul-Fitr, 2012.",public holidays
"IT IS notified for general information that Tuesday, 29th July, 2014, will be observed as a public holiday to mark Idd-Ul-Fitr Day, 2014.",public holidays
"THE Summer vacation shall commence on Sunday, 1st August, 2010 and shall terminate on Wednesday, 15th September, 2010.",public holidays
"THE Easter Vacation shall commence on 25th March, 2010 and shall terminate on 13th April, 2010.",public holidays
"IT IS notified for general information that Wednesday, 31st August, 2011, will be observed as a public holiday to mark Idd-Ul-Fitr Day, 2011.",public holidays
"THE Summer Vacation shall commence on Monday the 3rd August, 2015 and shall terminate on Tuesday, the 15th September, 2015. ",public holidays
"THE Summer Vacation shall commence on  1st August, 2011  and shall terminate on Thursday, 15th September, 2011.",public holidays
"THE Christmas vacation shall commence on Wednesday, 21st December, 2011  and shall terminate on Friday, 13th January, 2012.",public holidays
"The Easter Vacation of the Supreme Court shall commence on 15th March, 2016 and terminate on 30th March, 2016 both days inclusive.",public holidays
"The Supreme Court Easter Vacation shall commence on 10th of April, 2014 and terminate on 29th April, 2014 both days inclusive.",public holidays
"The Christmas Vacation of the Supreme Court shall commence on Thursday, 21st December, 2017 and terminate on Monday, 15th January, 2018, both days inclusive.",public holidays
"The Easter Vacation of the Supreme Court shall commence on 1st August, 2015 and terminate on 15th September, 2015 both days inclusive.",public holidays
"The Supreme Court Christmas Vacation shall commence on 22nd December, 2014, and terminate on 13th January, 2015 both days inclusive.",public holidays
"The Supreme Court Christmas vacation shall commence on 21st December, 2013, and terminate on 13th January, 2014 both days inclusive.",public holidays
"THE Easter Vacation shall commence on Thursday, 29th March, 2012, and shall terminate on Tuesday, 17th April, 2012.",public holidays
